name,popularity,followers,pagerank,closeness_cent,clustering,deg_cent,degree,num_collaborators,sum_collaborators_popularity,sum_collaborators_in_playlist,in_playlist
Lil Baby,87,18791840,0.0001209456805466,0.2181717589363748,0.0333333333333333,0.0005804311774461,21,13,902,0,0
Bobby Sessions,30,17147,9.51101244920017e-06,0.1837667243394148,0.0,2.763957987838585e-05,1,2,113,1,0
Joel Corry,72,437639,0.0002214748203406,0.2237599798589007,0.0345345345345345,0.0010226644555002,37,24,1521,0,0
DJ Chose,44,58868,4.34531804207679e-05,0.183772367847264,0.0,0.0001105583195135,4,4,74,0,0
Young Coco,41,21750,9.030436790236216e-05,0.2049087806791339,0.0357142857142857,0.000221116639027,8,9,301,1,0
Jin Dogg,53,82603,7.439202344899787e-05,0.2053271173085477,0.0476190476190476,0.0001934770591487,7,8,324,1,0
KATSEYE,75,524871,1.371048186020356e-05,0.2043280580933257,0.0,2.763957987838585e-05,1,2,146,1,1
YEONJUN,71,539977,3.2411020824783404e-05,0.2570502822053365,0.0,8.291873963515754e-05,3,4,227,1,0
Ndotz,74,105313,5.28138272042922e-05,0.2049953546038733,0.1,0.0001381978993919,5,6,211,1,1
SWiTCH,39,7865,9.37485377574286e-05,0.2051370723840276,0.0277777777777777,0.0002487562189054,9,10,424,1,0
HAZEY,43,51427,0.0001405361790529,0.2580256438556618,0.0220588235294117,0.0004698728579325,17,18,868,1,0
KatManDu,32,1051,8.474364221644387e-05,0.2570907750285285,0.0,0.000221116639027,8,9,289,1,0
Baby K!,22,61,1.26514647664563e-05,0.1700113470311389,0.0,2.763957987838585e-05,1,1,22,0,0
Amiravelli,1,155,1.26514647664563e-05,0.1700113470311389,0.0,2.763957987838585e-05,1,1,1,0,0
Ariis,72,129708,6.120895858529644e-05,0.1674799836186938,0.1071428571428571,0.000221116639027,8,4,256,1,1
Yb Wasg'ood,49,9021,0.0001587271417595,0.1799446019323273,0.0292397660818713,0.0005251520176893,19,19,838,1,0
Sayfalse,71,19392,0.0001489342937658,0.1615058470708116,0.0441176470588235,0.0004698728579325,17,17,968,1,0
acronym.,64,13193,0.0001888904611493,0.1799175508649446,0.0197628458498023,0.0006357103372028,23,24,1346,1,0
sapientdream,61,171619,6.787020792135036e-05,0.1840776328660668,0.1666666666666666,0.0002487562189054,9,10,497,2,1
Slushii,63,638589,0.0001506568679804,0.211719942024113,0.0368421052631578,0.0005527915975677,20,21,1004,2,1
Tokyo Machine,50,224618,8.850096994205417e-05,0.1867003258688229,0.0454545454545454,0.0003316749585406,12,11,575,2,0
TIFFVNYJOY,30,369,8.474459002538589e-05,0.2082121894211341,0.0181818181818181,0.0003040353786622,11,12,369,2,0
Bailey Pickles,37,7686,3.454351850256633e-05,0.1753202064912019,0.1666666666666666,0.0001105583195135,4,5,244,2,0
Ian Asher,65,130560,0.0001362282811702,0.2139084085085446,0.0368421052631578,0.0005527915975677,20,21,1305,3,0
